age,income,utilization,default_flag
49,81959.02689719737,0.17797184027551083,0
20,32139.703631529854,0.9899191986100824,0
28,10377.160381030686,0.11668751228886431,1
67,70861.83005572627,0.5416423580023442,0
48,2301.5606869397207,0.4485338057389594,0
27,65575.27089720886,0.42425078990221976,0
27,79889.7797147838,0.7273084344713923,0
28,24863.880182959227,0.8635303206293806,0
43,98274.2786539675,0.30236747066394143,0
32,55186.97671815978,0.07773452090569477,0
68,22305.53216981204,0.44319517419627963,0
69,69938.52863747085,0.9754292406094381,0
54,7038.054335683637,0.6124826985189833,0
44,25803.689280903094,0.7172663142878601,0
71,90921.73069781088,0.8208774164817038,0
35,17357.52291178282,0.6078356810106653,0
59,21909.40487177314,0.09107411523829412,0
18,57987.69476740974,0.7061433520028109,0
66,92674.89813711957,0.4693725094314719,0
41,46210.231346510845,0.42887527443439943,0
51,3757.779868724193,0.0012393811610064143,0
49,83558.27972290467,0.3997001348499757,1
64,68920.73969034452,0.9286785427478319,0
35,45431.38583733904,0.29629629601088436,0
33,15113.058286830848,0.7592778946652624,0
19,2334.737352342389,0.5973771880055945,0
38,7333.455118979253,0.12331122761780788,0
57,68032.72606618995,0.6795786763548599,0
69,2272.624271696289,0.8042509311882666,0
37,72931.06101400084,0.7775482999342181,0
32,32737.067895443222,0.4926019162376353,0
72,94783.07875647243,0.8968495100103425,0
37,27538.737529685648,0.8697850499411326,0
56,57559.0156039825,0.5086823343088442,0
41,99302.65375940321,0.9195339866906028,1
26,98565.47635674506,0.962741286533065,0
56,82920.82229918438,0.7940479048280538,1
75,73477.80353745841,0.2844314412931327,0
20,71889.87651758739,0.9907187556114305,0
52,3256.303019578078,0.9413116232188725,0
71,91786.07725930745,0.45829450108409087,1
34,75375.35844378166,0.4416371347436604,0
80,91804.75980817717,0.34560550655710376,0
43,90445.20032988177,0.3548757033477432,1
71,21782.579168244592,0.44474315639758855,0
28,93966.4908088997,0.509476607689962,0
30,78523.93547088972,0.21139478284439872,1
48,79841.07866533055,0.9841131287266436,0
72,88953.68109135266,0.04725630479133858,0
52,64520.560569843496,0.6314346012278984,1
76,82351.94341426206,0.5713255422636155,1
60,75355.81699537467,0.401619059127454,0
23,74211.3262321358,0.23579250229516602,0
28,94914.06708755449,0.40460597458331526,0
42,58443.43971862277,0.439296682738601,1
77,44668.41691064146,0.16700812839222923,0
25,71201.41867209687,0.6683704166284643,0
76,43388.52589166503,0.586080913806852,0
39,67287.48357069162,0.4266948464354464,0
38,11811.770622712187,0.9544277580374285,0
47,82244.63602014576,0.4293523976467286,1
47,31238.241066672315,0.6328129974799757,0
64,11209.400594136954,0.7196619793540792,1
49,6217.986928875591,0.5537716516802262,1
54,53234.468769350686,0.4704848128508603,0
